time,open,high,low,close,volume
2012-11-14,1724.97,1734.0,1720.68,1726.72,157114
2012-11-15,1726.65,1727.86,1704.68,1716.05,149793
2012-11-16,1717.16,1717.21,1705.75,1713.57,152735
2012-11-19,1714.57,1735.5,1714.29,1731.63,127858
2012-11-20,1731.1,1735.6,1722.11,1727.63,138086
2012-11-21,1727.75,1731.84,1720.5,1728.6,130964
2012-11-22,1729.03,1732.5,1728.43,1729.74,66040
2012-11-23,1728.84,1754.28,1727.95,1751.13,113929
2012-11-26,1750.35,1752.19,1745.86,1748.56,137326
2012-11-27,1749.15,1751.71,1740.37,1742.01,144757
2012-11-28,1741.65,1743.05,1705.59,1719.3,172014
2012-11-29,1719.6,1728.48,1718.0,1725.7,146770
2012-11-30,1725.45,1731.65,1708.43,1714.13,152626
2012-12-03,1714.96,1722.51,1712.51,1715.53,136912
2012-12-04,1716.31,1717.33,1691.21,1697.38,176274
2012-12-05,1696.47,1706.86,1684.75,1693.74,151181
2012-12-06,1693.68,1703.21,1685.9,1699.87,157345
2012-12-07,1699.52,1705.47,1684.01,1703.59,149382
2012-12-10,1703.68,1717.21,1702.61,1712.85,100668
2012-12-11,1712.88,1714.31,1704.75,1709.91,118936
2012-12-12,1710.11,1723.27,1707.11,1711.51,161501
2012-12-13,1709.82,1711.12,1689.39,1697.22,189210
2012-12-14,1696.93,1700.41,1693.18,1695.38,133276
2012-12-17,1699.48,1699.78,1686.49,1698.01,126095
2012-12-18,1698.36,1703.07,1660.87,1670.48,161717
2012-12-19,1672.3,1676.72,1663.22,1666.83,144253
2012-12-20,1666.15,1671.78,1635.48,1647.15,151079
2012-12-21,1647.92,1659.61,1635.44,1657.04,145715
2012-12-24,1657.22,1665.8,1651.81,1658.25,74438
2012-12-26,1655.61,1667.89,1655.23,1659.96,57474
2012-12-27,1658.74,1665.35,1652.54,1663.86,90747
2012-12-28,1664.37,1666.08,1653.49,1655.16,79163
2012-12-31,1656.02,1680.4,1655.82,1676.12,65531
2013-01-02,1673.25,1694.77,1670.1,1686.61,121942
2013-01-03,1686.12,1689.84,1660.56,1663.17,127633
2013-01-04,1663.98,1664.09,1625.8,1655.75,199229
2013-01-07,1658.6,1662.47,1642.67,1646.98,146348
2013-01-08,1647.98,1662.41,1646.44,1658.65,142439
2013-01-09,1659.86,1665.81,1651.34,1657.57,129482
2013-01-10,1657.83,1678.77,1653.72,1674.68,122697
2013-01-11,1675.71,1676.79,1653.26,1662.71,133068
2013-01-14,1661.58,1674.7,1659.88,1667.59,112886
2013-01-15,1667.9,1685.06,1666.33,1679.12,141704
2013-01-16,1679.73,1684.76,1673.39,1679.41,121528
2013-01-17,1680.72,1696.1,1666.69,1687.6,141169
2013-01-18,1687.14,1695.17,1683.31,1683.31,118053
2013-01-21,1688.48,1691.2,1685.81,1689.62,70152
2013-01-22,1690.19,1695.99,1686.59,1691.93,115627
2013-01-23,1693.1,1694.94,1683.62,1685.73,105834
2013-01-24,1684.31,1685.98,1664.86,1667.77,139703
2013-01-25,1668.41,1672.27,1655.87,1658.91,138587
2013-01-28,1659.66,1662.29,1651.89,1655.67,122762
2013-01-29,1654.94,1665.94,1654.73,1663.65,110621
2013-01-30,1663.39,1683.74,1662.65,1676.71,132974
2013-01-31,1675.85,1680.72,1657.77,1663.44,137208
2013-02-01,1663.93,1682.11,1659.85,1667.11,139169
2013-02-04,1668.8,1677.6,1661.48,1674.16,125535
2013-02-05,1674.5,1684.97,1666.62,1672.74,146739
2013-02-06,1672.91,1679.87,1668.31,1677.47,122385
2013-02-07,1677.39,1683.16,1664.16,1671.4,152000
2013-02-08,1672.09,1673.64,1665.03,1666.97,131363
2013-02-11,1667.36,1669.54,1643.77,1647.84,124151
2013-02-12,1647.29,1653.3,1639.21,1650.85,139816
2013-02-13,1652.38,1653.46,1640.48,1642.35,140446
2013-02-14,1641.86,1650.07,1632.79,1634.25,152328
2013-02-15,1634.03,1635.99,1597.87,1609.23,184006
2013-02-18,1609.22,1618.79,1607.03,1609.63,115595
2013-02-19,1610.13,1615.2,1600.72,1604.65,167865
2013-02-20,1604.55,1609.53,1558.65,1563.94,260459
2013-02-21,1567.62,1584.98,1555.04,1575.91,261657
2013-02-22,1577.73,1587.24,1569.85,1580.46,195115
2013-02-25,1580.91,1596.99,1575.17,1593.83,203098
2013-02-26,1592.22,1620.1,1584.44,1613.66,262603
2013-02-27,1613.52,1614.83,1592.15,1597.05,192184
2013-02-28,1596.96,1603.01,1574.99,1579.99,213561
2013-03-01,1580.61,1587.28,1564.81,1576.23,232669
2013-03-04,1580.2,1584.89,1569.38,1573.63,174637
2013-03-05,1574.39,1586.51,1571.95,1575.3,157433
2013-03-06,1575.28,1584.91,1567.39,1583.46,162306
2013-03-07,1584.45,1585.46,1574.91,1578.76,152290
2013-03-08,1578.08,1583.74,1561.41,1578.55,186289
2013-03-11,1578.6,1583.39,1575.5,1581.59,110858
2013-03-12,1582.01,1598.39,1580.02,1592.74,124806
2013-03-13,1593.07,1599.35,1585.63,1587.54,121773
2013-03-14,1589.23,1593.34,1576.31,1590.13,131809
2013-03-15,1590.66,1599.08,1588.52,1591.95,108479
2013-03-18,1604.62,1611.24,1591.67,1605.01,158229
2013-03-19,1605.75,1615.6,1600.02,1612.23,131548
2013-03-20,1613.17,1614.77,1602.9,1605.95,118753
2013-03-21,1606.43,1616.84,1604.49,1614.49,98144
2013-03-22,1615.76,1616.15,1603.52,1608.42,97728
2013-03-25,1608.32,1613.79,1589.65,1605.14,138710
2013-03-26,1604.08,1606.01,1594.61,1599.22,104342
2013-03-27,1600.65,1608.35,1591.29,1605.11,119550
2013-03-28,1605.01,1607.64,1593.97,1596.1,115801
2013-04-01,1600.84,1601.04,1594.79,1599.5,77759
2013-04-02,1599.28,1603.92,1573.59,1575.96,120557
2013-04-03,1576.18,1577.14,1549.44,1557.2,163329
2013-04-04,1557.26,1559.51,1540.12,1554.66,181377
2013-04-05,1553.8,1581.25,1549.31,1580.79,163789
2013-04-08,1582.24,1582.65,1567.35,1573.53,110719
2013-04-09,1572.43,1590.38,1570.39,1585.19,119805
2013-04-10,1585.01,1588.61,1555.7,1557.91,160924
2013-04-11,1557.75,1568.4,1553.38,1560.99,131732
2013-04-12,1559.95,1564.71,1481.75,1482.33,272307
2013-04-15,1482.82,1495.57,1337.09,1348.0,679039
2013-04-16,1362.17,1403.44,1321.54,1366.31,455308
2013-04-17,1372.33,1395.12,1364.88,1375.74,313402
2013-04-18,1376.33,1402.07,1336.14,1390.5,297097
2013-04-19,1394.58,1425.11,1385.8,1403.53,190129
2013-04-22,1405.88,1439.05,1403.6,1425.5,241280
2013-04-23,1426.06,1432.84,1404.93,1414.16,247837
2013-04-24,1413.42,1433.37,1412.23,1431.45,204051
2013-04-25,1430.77,1469.19,1427.08,1466.52,211507
2013-04-26,1466.07,1485.21,1447.91,1461.01,272635
2013-04-29,1466.69,1478.76,1462.14,1474.77,185912
2013-04-30,1474.78,1479.94,1461.0,1476.59,181769
2013-05-01,1475.67,1478.07,1440.41,1457.02,217896
2013-05-02,1457.65,1473.87,1448.84,1466.96,198148
2013-05-03,1466.32,1488.08,1456.11,1470.45,218120
2013-05-06,1470.21,1478.85,1464.48,1469.15,146696
2013-05-07,1469.37,1470.65,1441.37,1452.07,210295
2013-05-08,1451.43,1476.68,1447.67,1473.65,179310
2013-05-09,1472.38,1475.82,1453.33,1457.13,183774
2013-05-10,1457.32,1462.18,1419.74,1447.39,266105
2013-05-13,1445.98,1446.74,1425.87,1430.81,186957
2013-05-14,1430.66,1445.47,1421.23,1425.56,229154
2013-05-15,1425.51,1430.8,1388.37,1392.86,281001
2013-05-16,1395.6,1398.31,1369.62,1386.09,298414
2013-05-17,1384.84,1393.06,1355.26,1358.89,300378
2013-05-20,1364.59,1399.54,1337.95,1393.41,359215
2013-05-21,1393.33,1401.66,1359.7,1376.38,300552
2013-05-22,1376.41,1414.31,1354.44,1369.5,364182
2013-05-23,1369.42,1398.07,1356.61,1390.8,323679
2013-05-24,1391.37,1398.45,1382.36,1385.79,192075
2013-05-27,1387.9,1396.83,1384.33,1394.4,70881
2013-05-28,1393.86,1399.48,1373.69,1380.98,201753
2013-05-29,1381.97,1395.35,1380.09,1393.51,183294
2013-05-30,1393.21,1418.05,1388.78,1413.95,208596
2013-05-31,1412.93,1421.9,1384.72,1387.64,204066
2013-06-03,1389.5,1417.04,1388.97,1411.29,198957
2013-06-04,1410.8,1415.07,1389.07,1399.4,186024
2013-06-05,1399.2,1410.52,1395.81,1403.74,214874
2013-06-06,1402.06,1423.89,1391.78,1413.53,236314
2013-06-07,1413.11,1417.97,1377.78,1381.96,252501
2013-06-10,1379.18,1388.95,1375.79,1386.28,195907
2013-06-11,1386.3,1387.53,1365.29,1377.88,223123
2013-06-12,1378.26,1394.63,1373.12,1388.46,167941
2013-06-13,1388.08,1394.88,1374.46,1385.12,214407
2013-06-14,1386.32,1392.34,1378.43,1390.25,176340
2013-06-17,1389.19,1391.93,1380.47,1385.09,122530
2013-06-18,1384.87,1386.06,1361.13,1367.92,167719
2013-06-19,1368.24,1376.66,1349.01,1351.03,176042
2013-06-20,1350.93,1351.15,1276.13,1284.42,464971
2013-06-21,1281.77,1302.47,1269.43,1295.57,316104
2013-06-24,1298.87,1301.51,1276.05,1282.52,278098
2013-06-25,1282.54,1289.56,1271.72,1277.47,234815
2013-06-26,1277.08,1277.97,1221.58,1226.89,409813
2013-06-27,1224.69,1244.63,1196.48,1200.29,332479
